	iteration	accuracy_train	accuracy_test
0	0	23	11
1	10	15	26
2	20	43	42
3	30	57	60
4	40	66	68
5	50	68	72
6	60	66	75
7	70	74	79
8	80	83	82
9	90	81	83
10	100	81	85
11	110	92	85
12	120	89	86
13	130	89	87
14	140	92	88
15	150	89	88
16	160	81	88
17	170	83	89
18	180	92	90
19	190	87	90
20	200	89	90
21	210	89	91
22	220	95	91
23	230	92	91
24	240	95	91
25	250	87	91
26	260	89	92
27	270	92	92
28	280	83	92
29	290	95	93
30	300	95	92
31	310	95	93
32	320	93	92
33	330	92	93
34	340	92	93
35	350	93	93
36	360	100	93
37	370	98	93
38	380	98	93
39	390	95	94
40	400	93	94
41	410	93	94
42	420	95	94
43	430	100	94
44	440	95	94
45	450	95	94
46	460	95	94
47	470	93	94
48	480	98	94
49	490	95	94
50	500	95	94
51	510	95	94
52	520	89	94
53	530	93	94
54	540	93	94
55	550	95	95
56	560	93	94
57	570	92	95
58	580	93	95
59	590	93	95
60	600	95	95
61	610	89	95
62	620	95	95
63	630	98	95
64	640	92	95
65	650	98	95
66	660	95	95
67	670	95	95
68	680	98	95
69	690	98	95
70	700	98	96
71	710	95	96
72	720	100	96
73	730	98	96
74	740	98	96
75	750	93	95
76	760	95	95
77	770	92	96
78	780	95	96
79	790	98	96
80	800	93	96
81	810	95	96
82	820	95	96
83	830	98	96
84	840	98	96
85	850	95	96
86	860	98	96
87	870	92	96
88	880	93	96
89	890	100	96
90	900	93	96
91	910	93	96
92	920	95	96
93	930	98	96
94	940	98	96
95	950	89	96
96	960	89	96
97	970	98	96
98	980	95	96
99	990	92	96
